codigo_4,descripcion;
D16.2,Tumor benigno de lops huesos larsg os del miemb ro inferior;
D16.3,Tumor benigno de los huesos cortos del mie mbro inferior;
D16.4,–D16.5);
D16.5,);
D16.6,riTumor beningn o de la columena vertebral /;
"D16.8,""Tumcor benigno de los huesos pélvicos, sacro y cóccix""";
"D16.9,""Tumor benigno del hueso y del cartílago articular, sitio no""";
D17.0,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE CABEZA, CARA Y CUELLO;
D17.1,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DEL TRONCO;
D17.2,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE MIEMBROS;
D17.3,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS;
D17.4,TUMOR BENIGNO LIPOMATOSO DE LOS ORGANOS INTRATORACICOS;
D17.5,TUMOR BENIGNO LIPOMATOSO DE LOS ORGANOS INTRAABDOMINALES;
D17.6,TUMOR BENIGNO LIPOMATOSO DEL CORDON ESPERMATICO;
D17.7,TUMOR BENIGNO LIPOMATOSO DE OTROS SITIOS ESPECIFICADOS;
D17.9,TUMOR BENIGNO LIPOMATOSO, DE SITIO NO ESPECIFICADO;
"D18.0,""HAenmgioamnga iSoAem Ia, de cualquieir sitio o S""";
"D18.1,""Linfangioma, de cuanlquier sitio a""";
D19.1,Tumcor benigno del tejido mesotelial del peritoneo;
D19.7,Taumor benigno sdel tejido mesotelial de otros sitios;
"D19.9,""Tumor benigno del tejido mesotelial, de sitio no""";
D20.0,Tumor benigno del retroperitoneo;
D20.1,Tumor benigno del peritoneo;
D21.0,) e;
D21.1,zTumor benignoo del tejido c onjuntivo y de otros tejidos;
D21.3,);
D21.4,Tumor benigno del tejido conjuntivo y otros tejidos blandos;
D21.5,Tumor benigno del tejido conjuntivo y otros tejidos blandos;
D21.6,Tumor benigno del tejido conjuntivo y otrno.s tejidos bla.nd os;
"D21.9,""Tumor benigno del tejido conjunticvo y otros tejidos blandos,""";
"D22.0,"", D23.0)""";
"D22.1,""Nevlo melanocíticio del párpado,v incluida la comisura""";
"D22.2,"",a D23.2)""";
"D22.3,"", Df23.3) d M""";
D22.4,Naevo melanocítsico del cuero cabelludo y del cuello;
"D22.5,"", Dr23.5)""";
"D22.6,""Nevo melanocítico del miembro superior, incluido el""";
"D22.7,""Nevo melanocítico del miembro inferior, incluida la cadera""";
"D22.9,""Nevo melanocítico, sitio no especificado""";
D23.0,);
"D23.1,""Tumor benigno de la piel del párpcado, incluida lac comisura""";
D23.2,) a;
D23.3,Tumor benigno de la paiel de otras partes y de las no;
D23.4,Tumor benigno dae la piel del cueero cabelludo y del cuello;
D23.5,) O;
"D23.7,""Tumcor benigno de la piel del miembro inferior, incluida la""";
"D23.9,""zTumor benignoo de la piel, s itio no especificado""";
D25.0,Leiomioma submucoso del útero;
D25.1,Leiomioma intramural del útero;
D25.2,Leiomioma subseroso del útero;
"D25.9,""Leiomioma del útero, sin otra especificación""";
D26.0,);
D26.1,Tumor benigno del cuerpo del útero ó;
D26.7,Tumor benigno de otras partes especificadas delc útero;
"D26.9,""Tumor benigno del útero, partea no especificadua r""";
D28.0,Tumor benigno de lan vulva a;
D28.1,Tumlor benigno die la vagina v;
D28.2,) ;
D28.7,Tumor benigno d e otros sitios eOspecificados de los órganos;
"D28.9,""Tumor benigno de órgano genital femenino, sitio no""";
D29.0,Tumor benigno del pene;
D29.1,Tumor benigno de la próstata;
D29.2,Tumor benigno de los testículos;
D29.3,Tumor benigno del epidídimo;
D29.4,Tumor benigno del escroto;
D29.7,Tumor benigno de otros órganos genitales masculinos;
"D29.9,""Tumor benigno de órgano genital masóculino, sitio no""";
D30.0,Tumor benigno del riñónc e;
D30.1,) d a;
D30.2,Tumor benignco del uréter n s;
D30.3,Tumor bdenigno de la v efjiga d M;
D30.4,rTumor beningno de la uretrae /;
D30.7,Tumor benigno de otros órganos urPinarios;
D30.9,Tumor benigno de órgano urinario no especificado;
D31.0,Tumor benigno de la conjuntiva;
D31.1,Tumor benigno de la córnea;
D31.2,Tumor benigno de la retina;
D31.3,Tumor benigno de la coroides;
D31.4,Tumor benigno del cuerpo ciliar;
D31.5,Tumor benigno de las glándulas y de los conductos;
D31.6,) a s;
"D31.9,""Tumor benigno del ojo, parite no especific ada v""";
D32.0,Tumor benignco de las meninnges cerebraless;
D32.1,Tumor beneig no de las meininges raquídeoas S;
"D32.9,""Tumor bdenigno de las meninges, parte no especificMada""";
"D33.0,""iTumor benhigno del encéfaalo, supratentorial""";
D33.1,);
"D33.2,""Tumor benigno del encéfalo, parte no especificada""";
D33.3,) i v;
D33.4,Tumor benigno de la médula espinal;
D33.7,Tumor benigno de otras partes especificadas del sistema;
"D33.9,""Tumor benigno del sistema nervioso central, sitio no""";
D35.0,Tumor benignco de la glándunla suprarrenal s;
D35.1,Tumor beneig no de la glánidula paratiroidoes S;
D35.2,con có digo adicional;
D35.3,Tumor benigno del conducto craneofaríngeo;
D35.4,Tumor benignos de la glándula pineal;
D35.5,rTumor beningno del cuerpoe carotídeo /;
D35.6,Tumor bóenigno del cuerpo aórtico y de otros cuerpos;
D35.7,Tumor benigno d e otras glánduOlas endocrinas especificadas;
D35.8,Tumor benigno pluriglandular;
D35.9,iTumor benhigno de glánduala endocrina no especificada;
D36.0,Tumor benigno de los ganglios linfáticos;
D36.1,) teeji do: i o S;
D36.7,) i o S;
D36.9,Tumor benigno de sitio no especificado;
"D37.0,""Tumor de comportamieanto incierto o ddesconocido dael labio,""";
D37.2,zTumor de comoportamiento incierto o desconocido del;
D37.4,Tumor de comportamiento incierto o desconocido del colon;
D37.5,DTumor de comportamiento incierto o desconocido del recto;
D37.6,Tumor de comportamiento incierto o desconocido del;
D37.7,Tumor de comportamiento incierto o desconocido de otros;
D37.9,Tumor de comportamiento incierto o desconocido de;
D38.0,) r n e /;
D38.2,zTumor de comoportamiento incierto o desconocido de la;
D38.4,) t l;
D38.5,Tumor de comportamiento incierto o desconocido de otros;
D38.6,Tumor de comportamiento incierto o desconocido de;
D39.0,Tumor de comportamiento incierto o desconocido del útero;
D39.1,Tumor de comportamiento incierto o desconocido del ovario;
D39.2,) mola hidatiforme;
D39.7,Tumor de comportamientoi incierto o desc onocido de ovtros;
D39.9,Tumor de comportamiento inciersto o desconocaido de;
D40.0,Tuamlor de compoirtamiento incievrto o desconoOcido de la;
D40.1,rTumor de cnomportamientoe incierto o des/conocido del;
D40.7,) r;
D40.9,iTumor de chomportamientao incierto o desconocido de;
D41.0,Tumor de comportamiento incierto o desconocido del riñón;
D41.1,);
D41.2,Tumor de comportamiento incierto o desconocido del uréter;
D41.3,Tumor de comportamiento incierto o desconocido de la;
D41.4,Tumor de comportamiento incierto o desconocido de la;
D41.7,Tumor de comportamiento incierto o desconocido de otros;
D41.9,Tumor de comportamiento incierto o desconocido de;
D42.0,Tumor de comportamiento inciearto o desconocuido de las r;
D42.1,Tumor de comportamientco incierto o deesconocido de las;
D42.9,Tumor de comportapmiento incierto o desconocid o de las;
D43.0,Tuamlor de compoirtamiento incievrto o desconoOcido del;
D43.1,) i c;
D43.2,Tumor de comportamiento incierto o desconocido del;
D43.3,Tumor de comportamiento incierto o desconocido de los;
D43.4,Tumor de comportamiento incierto o desconocido de la;
D43.7,Tumor de comportamiento incierto o desconocido de otras;
D43.9,Tumor de comportamiento incierto o desconocido del;
D44.0,Tumor de comportamientco incierto o deesconocido de la;
D44.1,Tumor de comportapmiento incierto o desconocid o de la;
D44.2,Tumor de comcportamiento inncierto o descosnocido de la;
D44.3,Tumor dde comportam iefnto incierto o ddesconocido Mde la;
D44.4,Tuamlor de compoirtamiento incievrto o desconoOcido del;
D44.5,rTumor de cnomportamientoe incierto o des/conocido de la;
D44.7,Tumor de comportamiento incierto o desconocido del;
D44.8,);
D44.9,Teumor de comportamiento incierto o desconocido de;
"D46.0,""Anemia refractaria sin sideroblastos en form a de anillo, así""";
D46.1,Anemia refractaria con sideroblastois en forma dec anillo;
D46.2,Anemi a refractaria con exceso adec blastos [AREuB] r;
"D46.4,""Anemia refractaria, sin otcra especificacieón""";
D46.5,Anemia refractaria con displasia multilinaje f;
D46.6,Síndrome mielodisplásico con anormalidad croamosómica;
D46.7,Otros sín dero mes mielodfisiplásicos do S;
"D46.9,""Síndlrome mie lodii splásico, sin ovtra especificación""";
D47.0,);
"D47.1,"") leucemia mieloide crónica atípica, BCR/ABL-negativo""";
D47.2,Gammopatía monoclonal de significado incierto [GMSI];
D47.3,Trombocitopenia (hemorrágica) esencial;
D47.4,Osteomielofibrosis;
D47.5,) a u r;
D47.7,Otros tumores especificados de ccomportamiento incierto;
D47.9,Tumores de comportamaiento incierto do desconocidoa del;
D48.0,Tumor de compsortamiento incierto o desconocido del;
D48.1,);
D48.2,);
D48.3,Tumor de comportamiento incierto o desconocido del;
D48.4,Tumor de comportamiento incierto o desconocido del;
D48.5,) ó;
D48.6,);
D48.7,) n s;
"D48.9,""Tuamlor de compoirtamiento incievrto o desconoOcido, de sitio""";
D50.0,Anemia por deficiencia de hierro secundaria a pécrdida de;
D50.1,Disfagia sideropénicpa s;
D50.8,Otras andemias por def icfiencia de hierdro M;
D50.9,Anem ia por deficienncia de hierro sain otra especificación;
D51.0,Anecmia por defic iencia de vitamOina B12 debida a deficiencia;
D51.1,Aenemia por deficiencia de vitamina B12 debida a mala;
D51.2,Deficiencia de trascobalamina II;
D51.3,Otras anemias por deficiencia dietética de vitamina B12;
D51.8,Otras anemias por deficiencia de vitamina B12;
"D51.9,""Anemia por deficiencia de vitamina B12, sin otra""";
D52.0,Anemia por deficiencia dietética de folatos;
D52.1,Anemia por deficiencia de folatos inducida por drogas;
D52.8,Otras anemias por deficiencia de folatos o;
"D52.9,""Anemia por deficiencia de folatos, sin otra especificración""";
D53.0,Anemia por deficienpcia de proteínsa s;
"D53.1,""Otras anemias meganloblásticas, noa clasificadas en otra""";
D53.2,);
D53.8,Otracs anemias nutricionales especificadas;
"D53.9,""Anemia nutricional, no especificada""";
D55.0,Anemia debida a deficiencia de glucosa-6-fosfato o;
D55.1,Anemia debida a otros trastotrnos del metablolismo del;
D55.2,Anemia debida a trastornos de las enzimas glucolíticas;
D55.3,rAnemia debnida a trastornoes del metaboli/smo de los;
D55.8,Otras anemias debidas a trastornosP enzimáticos;
"D55.9,""Anemia debida a trastornos enzOimáticos, sin otra""";
D56.0,Alfa talasemia;
D56.1,DBeta talasemia;
D56.2,Delta-beta talasemia;
D56.3,Rasgo talasémico;
D56.4,Persistencia hereditaria de la hemoglobina fetal [PHHF];
D56.8,Otras talasemias;
"D56.9,""Talasemia, no especificada""";
D57.0,Anemia falciforme con crisis n;
D57.1,Anemia falciforme sin crisis i c;
D57.2,Trastornos falciformes hecterocigotos doebles;
D57.3,Rasgo drepanocítico f d;
D57.8,Otros trastornoss falciformes;
D58.1,) 252;
D58.2,DOtras hemoglobinopatías;
D58.8,Otras anemias hemolíticas hereditarias esp.ecificadas;
"D58.9,""Anemia hemolítica hereditaria, sin otra especificacirón""";
D59.0,Anemia hemolítica autoinmiune inducida p or drogas v;
D59.1,Otras anemias hemolíticas autoinsmunes a;
D59.2,) n;
D59.3,);
D59.5,Hemoglobinuria paroxística nocturna [Marchiafava–Micheli];
D59.6,) e s S;
D59.8,Otras anemias hemolíticas adquiridias;
"D59.9,""Anemia hemolítica adquirida, sain otra especificuación r""";
"D60.0,""Apllasia crónica aidquirida, excluvsiva de la serie roja""";
"D60.1,""Aplasia transitoria adquirida,r exclusiva de la serie roja""";
"D60.8,""rOtras aplasnias adquiridas, eexclusivas de/ la serie roja""";
D61.0,Anemia aplástica constitucional;
D61.1,);
D61.2,Anemia aplástica debida a otros agentes externos;
D61.3,Anemia aplástica idiopática;
D61.8,Otras anemias aplásticas especificadas;
"D61.9,""Anemia aplástica, sin otra especificaciónn""";
D63.0,* Anemia ene e nfermedad nieoplásica (C00–oD48†) S;
D63.8,* Anemia den otras enfer mfedades crónicdas clasificadMas en otra;
D64.1,Anemia sideroblástica secundaria a otra enfermedad;
"D64.2,""Anemia sideroblástica secundaria, debida a drogas y""";
D64.3,Otras anemias sideroblásticas;
D64.4,Anemia diseritropoyética congénita;
D64.8,Otras anemias especificadas;
D64.9,) 241;
D68.0,) D67 Deficiencia hereditaria del factor IX;
D68.1,Deficiencia hereditaria del factor XI d a;
D68.2,Deficiencia heredaitaria de otrose factores de la coagulación;
D68.4,Deficiencia adquirida de factores de la coagulación;
D68.5,Trombofilia primaria;
D68.6,Otra trombofilia t l;
D68.8,Otros defectosc especificadons de la coagulasción;
"D68.9,""Defecto dee l a coagulacióni, no especificaodo S""";
D69.0,Púrpura alérgica;
D69.1,Defectos cualitativos de las plaquetas;
D69.2,Otras púrpuras no trombocitopénicas;
D69.3,) t e;
D69.4,Otras trombocitopenias primarias o;
D69.5,Trombocitopenia secundariia v;
D69.6,Trombocitopenia no especificadas a;
D69.8,Otras afecciones hemorrágicas especificada s;
"D69.9,""Afecciónd hemorrágica , no especificada M""";
D72.0,Anomalías genéticas de los leucocitods a;
D72.1,Eosinofilia s r;
D72.8,Otrocs trastornos especificados de los leucocitos;
"D72.9,""Trastorno de los leucocitos, no especificado""";
D73.0,Hipoesplenismo;
D73.1,Hiperesplenismo;
D73.2,Esplenomegalia congestiva crónica;
D73.3,Absceso del bazo;
D73.4,Quiste del bazo n;
D73.5,Infarto del bazo ó;
D73.8,Otras enfermedades del baizo v;
"D73.9,""Enfermedad del baazo, no especeificada a""";
D74.0,) metahemoglobinemia (D74.–);
D74.8,Otras metahemoglobinemias;
"D74.9,""zMetahemogloobinemia, no e specificada""";
D75.0,);
D75.1,);
D75.8,) r;
D75.9,Enfermedaed de la sangrei y de los órganoos S;
D76.1,Linfohistiocitosis hemofagocítica;
D76.2,Síndrome hemofagocítico asociado con infección;
D76.3,Otros síndromes histiocíticos;
D80.1,Hipogammaglobulinemia no familiar;
D80.2,Deficiencia selectiva de inmunoglobulina A [IgA];
D80.3,Deficiencia selectiva de subclases de la inmunoglobulina G;
D80.4,Deficiencia selectiva de inmunoglobulina M [IgM];
D80.5,Inmunodeficiencia con incremento de inmunoglobulina M;
D80.6,Deficiencia de anticuerpos con inmunoglobulinas casi;
D80.7,Hipogammaglobulinemia transitoria de la in.fancia;
D80.8,Otras inmunodeficiencias con predominio de defectos de;
D80.9,Inmunodeficiencia con predomainio de defectosu de los r;
D81.0,Inmunodeficiecncia combinadna severa [IDCsS] con disgenesia;
D81.1,Inmunoddeficiencia com fbinada severad [IDCS] con M;
D81.2,Inmlunodeficienciia combinada svevera [IDCS] con cifra baja o;
D81.3,rDeficiencia nde la adenosinea deaminasa [/ADA];
D81.6,Daeficiencia de las clase I del complejo de histocompatibilidad;
D81.8,Otras inmunodeficiencias combinadas;
"D81.9,""Inmunodeficiencia combinada, no especificada""";
D82.0,) r;
D82.1,Síndrome de Di George;
D82.2,Inmunodeficiencia con enanismo micromélico [miembros;
D82.3,Inmunodeficiencia consecutiva a respuesnta. defectuosa;
D82.4,Síndrome de hiperinmunoglobulinca E [IgE];
D82.8,Inmunodeficiencia asociada con otros defectos mayores;
D82.9,Inmunodeficiencia asociacda con defectoes mayores no;
D83.0,Inmunodefeic iencia variabile común con poredominio deS;
D83.1,Inmunodeficiencia vnariable comúna con predominio de;
D83.2,Inmunodeficiencia variable cromún con autoanticuerpos;
D83.8,Otras inmunodeficiencias variables comunes;
D84.8,Oetras inmunodeficiencias especificadas;
"D84.9,""Inmunodeficiencia, no especificada""";
D86.0,Sarcoidosis del pulmón;
D86.1,Sarcoidosis de los ganglios linfáticos;
D86.2,Sarcoidosis del pulmón y de los ganglios linfáticos;
D86.3,Sarcoidosis de la piel;
D86.6,†);
D86.8,Sarcoidosis de otros sitios especificados o de sitios;
D86.9,Sarcoidosis de sitio no especificado c;
D89.0,) P;
D89.1,) /;
D89.2,) linfadenitis;
D89.8,Otros trastornos especificados que afectan el mecanismo;
"D89.9,""Trastorno que afecta al mecanismo de la inmunidad, no""";
"E00.0,""Síndrome congénito de deficiencsia de yodo, tipo""";
"E00.1,""Síndrome ed e deficiencia ciongénita de yoodo, tipo S""";
"E00.2,""rSíndrome cnongénito de deeficiencia de yo/do, tipo mixto""";
"E00.9,""Síndrome congénito de deficiencia Pde yodo, no especificado""";
E01.0,DBocio difuso (endémico) relacionado con deficiencia de;
E01.1,Bocio multinodular (endémico) relacionado con deficiencia;
"E01.2,""Bocio (endémico) relacionado con deficiencia de yodo, no""";
E01.8,Otros trastornos de la tiroides relacionados con deficiencia;
E03.0,Hipotiroidismo congénito cotn bocio difusol;
E03.1,Hipotiroidismo congénito sin bocio;
E03.2,Hipot iroidismo debido a medicamentos y a otras sustancias;
E03.3,Hipotiroóidismo postinfeccioso;
E03.5,Coma mixedematoso;
E03.8,iOtros hipohtiroidismos espaecificados;
E03.9,);
E04.0,Bocio difuso no tóxico;
E04.1,Nódulo tiroideo solitario no tóxico;
E04.2,Bocio multinodular no tóxico;
E04.8,Otros bocios no tóxicos especificados c;
"E04.9,""Bocio no tóxico, no especificadao u r""";
E05.0,Tirotoxicosis con bociof difuso d;
E05.3,zTirotoxicosis opor tejido tiro ideo ectópico;
E05.4,iTirotoxicoshis facticia a;
"E05.8,"", r""";
"E05.9,""Tirotoxicosis, no especificada""";
E06.0,Tiroiditis aguda;
E06.1,Tiroiditis subaguda c c;
E06.2,);
E06.3,Tiroiditis aeu toinmune i o S;
E06.5,Oatras tiroiditis csrónicas;
"E06.9,""Tiroiditis, no especificada""";
"E07.0,"", E16–E31, E–34.–) pueden ser eimpleados, si se desea, como""";
E07.1,Bocio dishormogenético;
E07.8,Otros trastornos especificados de la glándula tiroides;
"E07.9,""Trastorno de la glándula tiroides, no especificadoc""";
"E16.0,""Hipoglicemia sin coma, inducida por drogas""";
E16.1,Otras hipoglicemias;
"E16.2,""Hipoglicemia, no especificada""";
E16.3,Secreción exagerada del glucagón;
E16.4,Secreción anormal de gastrina;
E16.8,Otros trastornos especificados de la sóecreción interna del;
"E16.9,""Trastornos de la secpreción interna del páncreas , sfin otra""";
E20.0,Heipoparatiroidismo idiopático;
E20.1,Pseudohipoparatiroidismo;
E20.8,Otros tipos de hipoparatiroidismo;
"E20.9,""Hipoparatiroidismo, no especificado""";
E21.0,Hiperparatiroidismo primario;
E21.1,Hiperparatiroidismo secundario nco clasificado en otra parte;
E21.2,Otros tipos de hiperparatiroidismo;
"E21.3,""Hiperparatiroidismop, sin otra espec ificación""";
E21.4,Otros trastornos aespecificadose de la glándula paratiroides;
"E21.5,""Trastorno de lca glándula parnatiroides, no esspecificado""";
E22.0,Acromegalia y gigantismo hipofisario;
E22.1,Hiperprolactinemia;
E22.2,Síndrome de secreción inapropiada de hormona;
E22.8,Otras hiperfunciones de la glándula hipófisis;
"E22.9,""Hiperfunción de la glándula hipófisis, no especificada""";
E23.0,Hipopituitarismo;
E23.1,Hiapopituitarismso inducido por drogas O;
"E23.3,""Disfunción hipota lámica, no claOsificada en otra parte""";
E23.6,) lipeo matosis: i o S;
"E23.7,""Terastorno de la glándula hipófisis, no especificado""";
E24.0,a e;
E24.1,) O;
E24.2,Síndrome de Cushing inducido por drogas;
E24.3,Síndrome de ACTH ectópico;
E24.4,Síndrome de seudo–Cushing inducido por .alcohol;
E24.8,Otros tipos de síndrome de Cushing;
"E24.9,""Síndrome de Cushing, no especificado r""";
E25.0,Trasltornos adreniogenitales convgénitos con deficiencia;
E25.8,Otrocs trastornos adrenogenitales;
E26.0,Hiperaldosteronismo primario;
E26.1,Hiperaldosteronismo secundario;
E26.8,Otros tipos de hiperaldosteronismo;
"E26.9,""Hiperaldosteronismo, no especificado""";
E27.0,) P;
E27.1,Insuficiencia corticosuprarretnal primaria l o;
E27.2,Crisis addisonciana n s;
E27.3,Insuf iciencia corticosuprarrenal inducida por drogas;
E27.4,rOtras insufinciencias corticeosuprarrenale/s y las no;
E27.5,; el adenoma basófilo de la hipófisis
E27.8,Otros trastornos especificados de la glándula suprarrenal;
"E27.9,""Trastorno de la glándula suprarrenal, no especificado""";
E28.0,Exceso de estrógenos;
E28.1,Exceso de andrógenos;
E28.2,Síndrome de ovario poliquísttico l;
E28.3,Insuficiencia ováarica primaria e a;
E28.8,iOtras disfunc iones ováricasr;
"E28.9,""Disfuncióón ovárica, no especificada""";
E29.0,Hiperfunción testicular;
E29.1,Hipofunción testicular;
E29.8,Otras disfunciones testiculares n;
"E29.9,""Disfunción testicular, no especificada r""";
E30.0,Pubertad retardada d a;
E30.1,Pubertad precoz;
E30.8,rOtros trastonrnos de la pubeertad /;
"E30.9,""Trastorno de la pubertad, no especiPficado""";
E31.1,Hiperfunción poliglandular;
E31.8,Otras disfunciones poliglandulares;
"E31.9,""Disfunción poliglandular, no especificada""";
E32.0,Hiperplasia persistente del timo;
E32.1,Absceso del timo;
E32.8,Otras enfermedades del timo;
"E32.9,""Enfermedad del timo, no especificada r""";
E34.0,Síndrome carcinoide c e;
E34.1,Otras hiperseccreciones de hnormonas intesstinales;
"E34.2,""Secreción eh ormonal ectóipica, no clasificoada en otra pSarte""";
"E34.3,""Enanismdo, no clasifica do en otra parte M""";
E34.4,);
E34.5,) i chipofunción te sticular consecutiva a procedimientos;
E34.8,);
"E34.9,""Trastorno endocrino, no especificado""";
E35.0,*) n;
E35.1,*) Enfermedad de Addison tuberculosa;
E35.8,* Trastornose de otras glándiulas endocrinaos en enfermeSdades;
E44.0,iDesnutricióhn proteicocalóarica moderada;
E44.1,Desnutrición proteicocalórica leve;
E50.0,Deficiencia de vitaminaf A con xerosisd conjuntival;
E50.1,Deficiencia de vitamnina A con manacha de Bitot y xerosis;
E50.2,rDeficiencia nde vitamina A ceon xerosis co/rneal;
E50.3,Deficiencia de vitamina A con ulceración corneal y xerosis;
E50.5,Deficiencia de vit amina A con cOeguera nocturna;
E50.6,zDeficiencia deo vitamina A c on cicatrices xeroftálmicas de la;
E50.8,Otras manifestaciones de deficiencia de vitamina A;
"E50.9,""Deficiencia de vitamina A, no especificada""";
E51.1,Beriberi;
E51.2,Encefalopatía de Wernicke n;
E51.8,Otras manifestaciones de la deficiencióa de tiamina;
"E51.9,""Deficiencia de tiamina, no especificiada c""";
E53.0,Deficiencia de rsiboflavina;
E53.8,Daeficiencia de ostras vitaminas del grupo B;
"E53.9,""Deficiencia de vitamina B, no especificada""";
E55.0,);
"E55.9,""Deficiencia de vitamina D, no especificada f""";
E56.0,Deficiencia de vitamina E;
E56.1,Defliciencia de vitiamina K v;
"E56.9,""Deficciencia de vitamina, no especificada""";
E61.0,) e;
E61.1,Deficiencia de hierro c;
E61.2,Deficiencia de magnesio t l;
E61.3,Deficiencia de manganesco e;
E61.4,Deficiencia de cromo f;
E61.5,) D;
E61.6,Deficiencia de vanadio;
E61.7,Deficienciae de múltiples eilementos nutriocionales S;
E61.8,Deficiencia de otros elefmentos nutricdionales especificados;
"E61.9,""Defic iencia de otro enlemento nutricaional, no especificado""";
E63.1,Desequilibrio de los constituyentes en la dieta;
E63.8,Oetras deficiencias nutricionales especificadas;
"E63.9,""DDeficiencia nutricional, no especificada""";
E64.0,) 276;
E64.1,) e i o S;
E64.2,) 279;
E64.3,);
E64.8,);
E64.9,Secuelas de la deficiencia nutricional no especificadao;
E66.0,iObesidad deb ida a exceso der calorías;
E66.1,Obesidad inducida por drogas;
E66.2,Obesidad extrem a con hipoventOilación alveolar;
E67.0,Hipervitaminosis A;
E67.1,Hipercarotinemia;
E67.2,Síndrome de megavitamina B6;
E67.3,Hipervitaminosis D;
E67.8,Otros tipos de hiperalimentación especificados;
E70.0,Fenilcetoneu ria clásica i o S;
E70.1,Otras hidperfenilalanin emias M;
E70.2,Trastornos del metabolismo de la tirosina;
E70.3,) a O;
E70.8,Otros trastornos del metabolismo de los aminoácidos;
"E70.9,""Trastorno del metabolismo de los aminoácidos aromáticos,""";
E71.0,Enfermedad de la orina en jarabe de arce;
E71.1,Otros trastornos del metabolismo de los aminoácidos de;
E71.2,Otros trastornos del metabolismo de los aminoácidos de o;
E71.3,);
E72.0,zTrastornos deol transporte d e los aminoácidos;
E72.1,Trastornos del metabolismo de los aminoácidos azufrados;
E72.2,Trastornos del metabolismo del ciclo de la urea;
E72.3,Trastornos del metabolismo de la lisina y la. hidroxilisina;
E72.4,);
E72.5,Trastornos del metabolismo de la glicina f;
E72.8,Otros tradstornos espe cifficados del medtabolismo deM los;
E73.0,iDeficienciah congénita de laactasa;
E73.8,Otros tipos de intolerancia a la lactosa;
"E73.9,""Intolerancia a la lactosa, no especificada""";
E74.0,Enfermedad del almacenamiento de glucógeno;
E74.1,Trastornos del metaboliscmo de la fructoesa;
E74.2,Trastorno del metabolismo de la galactosa;
E74.3,Otros tradstornos de la absorción intestinal de carbMohidratos;
E74.4,Trastornos del metabolismo del piruvato y de la;
E74.8,) t e;
"E74.9,""Trastorno del metabolismo de los carbohidratos, no""";
E75.0,Gangliosidosis GM2;
E75.1,Otras gangliosidosis i v;
E75.2,Otras esfineg olipidosis i o S;
E75.3,);
E75.4,Lipofuscinosis ceroide neuronal;
E75.5,) c;
"E75.6,""Trastorno del almacenamiento de lípidos, no especificado""";
E76.0,–E76.3);
E76.1,Mucopolisacaridosis tipo II ó;
E76.2,Otras mucopolisacaridosis a u r;
E76.3,) 285;
E76.8,Otros trasteo rnos del metaibolismo de loso S;
"E76.9,""Trast orno del metabnolismo de los aglucosaminoglicanos, no""";
E77.0,–E77.1);
E77.1,);
E77.8,Otros trastornos del metabolismo de las glucoproteínas;
"E77.9,""Trastorno del metabolismo de las glucoproteínas, no""";
E78.0,Hipercolesterolemia pura;
E78.1,Hipergliceridemia pura a u r;
E78.2,Hiperlipidemiac mixta n s;
E78.3,Hiperquilomicron emia O;
E78.5,Heiperlipidemia no especificada;
E78.6,Deficiencia de lipoproteínas;
E78.8,Otros trastornos del metabolismo de las lipoproteínas;
"E78.9,""Trastorno del metabolismo de las lipoproteínas, no""";
E79.0,Hiperuricemia sin signos de artritis inflamatoria y;
E79.1,Síndrome de Lesch–pNyhan;
E79.8,Otros trastornos adel metabolisemo de las purinas y de las;
E79.9,Trastorndo del metabol isfmo de las purdinas y de las M;
E80.0,) t equiste o senoe pilonidal (L05.–);
E80.1,iPorfiria cuthánea tardía a;
E80.3,Defectos de catalasa y peroxidasa;
E80.4,Síndrome de Gilbert;
E80.5,Síndrome de Crigler–Najjar;
E80.6,Otros trastornos del metabolismo de la bilirrubina;
"E80.7,""Trastorno del metabolismo de la bilirrubina, no especificado""";
E83.0,Trastornos del metabolismo del cobre;
E83.1,Trastornos del metapbolismo del hie rro;
E83.2,Trastornos del metabolismo del zinc;
E83.3,Trastornos del smetabolismo del fósforo y fosfatasa;
E83.5,) a;
E83.8,Otros trastornos del metabolismo de los minerales;
"E83.9,""Trastorno del metabolismo de los minerales, no""";
E84.0,Fibrosis quística con manifestaciones pulmonares;
E84.1,Fibrosis quística con manifestaciones intestinales;
E84.8,Fibrosis quística con otras manifesitaciones;
"E84.9,""Fibrosis quística, sin otra especaificación u r""";
E85.0,Amiloidosis heredofpamiliar no neu ropática;
E85.1,Amiloidoseis heredofamiliiar neuropáticao S;
E85.2,Amiloidosis heredofnamiliar no espaecificada;
E85.3,Amaliloidosis sistéimica secundarvia O;
E85.4,rAmiloidosisn limitada a un óergano /;
"E85.9,""Amiloidosis, no e specificada O""";
E87.0,Hiperosmolaridad e hipernatremia;
E87.1,Hiposmolaridad e hiponatremia;
E87.2,Acidosis a u r;
E87.3,Alcalosis:e i o S;
E87.4,iTrastornos m ixtos del balance ácido-básico;
